source_id,ra,dec,phot_g_mean_mag,redshift
4955914388639680384,28.246647,-43.043397,18.9,0.87
5018934748714957440,28.333909,-31.318274,18.8,1.87
5018930007070941440,28.361812,-31.441918,19.4,1.58
4955896620358608256,28.376766,-43.243130,18.8,1.82
5017958141871555328,28.461392,-32.567379,19.6,1.68
4955044292688756224,28.608126,-44.037422,19.5,2.32
5018844245164572288,28.714467,-31.970988,19.5,1.95
5018966810646421632,28.756637,-30.981490,18.7,2.00
4955834635390035456,28.759788,-43.486981,18.5,0.85
5018945503313054208,28.798348,-31.333744,19.8,2.41
4957360723169751296,28.808834,-43.016640,19.3,0.94
5017912787016762880,28.875927,-32.804699,18.4,1.69
5017908766927339904,28.948463,-32.862109,19.4,2.66
5018090804821568000,28.952932,-32.032982,19.6,0.68
5018954952241286016,29.045064,-31.103644,19.2,1.82
5018083799730479104,29.068785,-32.193238,18.9,0.91
5017923030515981312,29.186069,-32.550248,19.5,2.28
5018099463474951680,29.229213,-31.818638,19.3,2.50
5017697179658462720,29.317391,-33.270571,19.6,0.90
5018016622145981568,29.454729,-32.426088,19.6,1.48
5018007555471097088,29.738859,-32.437375,19.4,1.93
5017791295278535808,29.930800,-32.892132,19.7,1.87
5017800533751176832,30.007404,-32.741845,19.9,2.46
5018041051920740864,30.035708,-32.142703,19.1,2.00
5017820329257483520,30.189089,-32.734110,19.1,1.96
5017821527552954112,30.325739,-32.679335,19.1,2.42
5017771087455846528,30.352554,-32.830367,19.4,2.63
5017821974228454528,30.370831,-32.647708,18.4,1.93
5017773153336738048,30.416840,-32.763560,17.9,0.10
5017767209102004224,30.463994,-32.877063,19.8,1.56
5017769957881071744,30.464911,-32.800516,18.1,2.38
4969657111458895744,30.509945,-33.694788,18.5,1.70
5017757446639706368,30.548276,-32.847785,18.8,1.68
5017777375288058752,30.574231,-32.635962,19.5,2.67
4969710781370670720,30.700969,-33.124867,19.2,1.67
5019284771369499776,30.719820,-32.421332,19.1,0.17
5019280235883974656,30.793216,-32.536440,19.8,1.71
4969587086312792832,30.835729,-34.061768,19.1,0.95
5019264396044555264,31.020680,-32.647250,18.9,2.35
5019273917988004096,31.168618,-32.470034,19.5,1.91
4971152653431406336,31.331166,-33.191789,18.8,1.62
4971239514849781248,31.547744,-32.702884,19.9,1.87
4971235529120103808,31.638558,-32.742934,19.5,0.75
4971183302318356480,31.863959,-32.873511,18.5,0.75
4971194610968545280,32.060656,-32.620034,18.0,2.26
4971394309767086720,32.192264,-31.827462,19.9,2.32
5019450419668925440,32.250591,-31.370585,19.4,1.58
4971410763786636928,32.316940,-31.440601,19.1,2.26
4971274050681989248,32.400821,-32.589610,20.0,0.69
4971327273917578880,32.574713,-32.052978,18.3,1.91
4971312975970882304,32.711994,-32.177195,19.6,1.94
4971802499163364864,32.966502,-31.280344,18.6,2.78
4970995938664436864,33.039267,-33.255444,19.8,2.25
4971798204195799552,33.062701,-31.357063,19.4,2.10
4970123446125284608,33.165948,-33.848685,19.8,1.84
4971049814734532736,33.171621,-32.677960,19.2,2.36
4970112000035530880,33.192820,-34.063372,19.3,0.86
4971487248563593856,33.238943,-32.264056,18.4,1.95
4971030371419250304,33.291885,-32.931036,19.5,2.05
4971058512044914048,33.352733,-32.519939,19.8,0.49
4970072967372609408,33.372786,-33.983387,19.7,1.66
4970066061065500800,33.415128,-34.153499,19.9,1.75
4971038617756424064,33.427561,-32.798339,18.3,1.64
4971038617756424064,33.427561,-32.798339,18.3,1.64
4970229957017102720,33.448130,-33.464230,19.2,1.72
4970228857505451392,33.500957,-33.509838,19.0,1.02
4970225047872419072,33.508692,-33.598589,19.6,1.86
4971026999868054656,33.544731,-32.962262,19.6,0.78
